STA,Lat,Long,Segment
26195,-6.220666935,106.5671401,Bitung - Cikupa
26200,-6.220658196,106.5670958,Bitung - Cikupa
26205,-6.220649375,106.5670515,Bitung - Cikupa
26210,-6.220640563,106.5670072,Bitung - Cikupa
26215,-6.220631714,106.5669629,Bitung - Cikupa
26220,-6.220622839,106.5669186,Bitung - Cikupa
26225,-6.220613964,106.5668743,Bitung - Cikupa
26230,-6.220604962,106.56683,Bitung - Cikupa
26235,-6.22059596,106.5667857,Bitung - Cikupa
26240,-6.220586931,106.5667414,Bitung - Cikupa
26245,-6.220577874,106.5666972,Bitung - Cikupa
26250,-6.220568809,106.5666529,Bitung - Cikupa
26255,-6.220559563,106.5666087,Bitung - Cikupa
26260,-6.220550316,106.5665645,Bitung - Cikupa
26265,-6.220541034,106.5665202,Bitung - Cikupa
26270,-6.220531724,106.566476,Bitung - Cikupa
26275,-6.220522405,106.5664318,Bitung - Cikupa
26280,-6.220513041,106.5663876,Bitung - Cikupa
26285,-6.220503677,106.5663434,Bitung - Cikupa
26290,-6.220494268,106.5662992,Bitung - Cikupa
26295,-6.220484822,106.566255,Bitung - Cikupa
26300,-6.220475377,106.5662108,Bitung - Cikupa
26305,-6.220465769,106.5661667,Bitung - Cikupa
26310,-6.220456169,106.5661225,Bitung - Cikupa
26315,-6.220446552,106.5660784,Bitung - Cikupa
26320,-6.220436926,106.5660342,Bitung - Cikupa
26325,-6.220427299,106.5659901,Bitung - Cikupa
26330,-6.220417528,106.565946,Bitung - Cikupa
26335,-6.220407757,106.5659019,Bitung - Cikupa
26340,-6.220397913,106.5658578,Bitung - Cikupa
26345,-6.220387997,106.5658137,Bitung - Cikupa
26350,-6.220378072,106.5657696,Bitung - Cikupa
26355,-6.220368056,106.5657256,Bitung - Cikupa
26360,-6.220358041,106.5656815,Bitung - Cikupa
26365,-6.220348016,106.5656374,Bitung - Cikupa
26370,-6.220337964,106.5655934,Bitung - Cikupa
26375,-6.220327922,106.5655493,Bitung - Cikupa
26380,-6.22031787,106.5655053,Bitung - Cikupa
26385,-6.220307809,106.5654612,Bitung - Cikupa
26390,-6.220297685,106.5654172,Bitung - Cikupa
26395,-6.220287497,106.5653732,Bitung - Cikupa
26400,-6.22027731,106.5653292,Bitung - Cikupa
26405,-6.220267059,106.5652852,Bitung - Cikupa
26410,-6.220256799,106.5652412,Bitung - Cikupa
26415,-6.220246403,106.5651972,Bitung - Cikupa
26420,-6.220235881,106.5651533,Bitung - Cikupa
26425,-6.220225349,106.5651093,Bitung - Cikupa
26430,-6.220214745,106.5650654,Bitung - Cikupa
26435,-6.220204142,106.5650215,Bitung - Cikupa
26440,-6.220193474,106.5649776,Bitung - Cikupa
26445,-6.220182762,106.5649337,Bitung - Cikupa
26450,-6.220172031,106.5648898,Bitung - Cikupa
26455,-6.220161147,106.5648459,Bitung - Cikupa
26460,-6.220150263,106.5648021,Bitung - Cikupa
26465,-6.220139297,106.5647582,Bitung - Cikupa
26470,-6.22012825,106.5647144,Bitung - Cikupa
26475,-6.220117202,106.5646706,Bitung - Cikupa
26480,-6.220106137,106.5646268,Bitung - Cikupa
26485,-6.22009508,106.564583,Bitung - Cikupa
26490,-6.220083988,106.5645392,Bitung - Cikupa
26495,-6.220072886,106.5644954,Bitung - Cikupa
26500,-6.220061767,106.5644516,Bitung - Cikupa
26505,-6.220050357,106.5644079,Bitung - Cikupa
26510,-6.220038948,106.5643642,Bitung - Cikupa
26515,-6.220027466,106.5643205,Bitung - Cikupa
26520,-6.22001593,106.5642768,Bitung - Cikupa
26525,-6.220004394,106.5642331,Bitung - Cikupa
26530,-6.219992831,106.5641894,Bitung - Cikupa
26535,-6.219981268,106.5641457,Bitung - Cikupa
26540,-6.219969677,106.5641021,Bitung - Cikupa
26545,-6.21995806,106.5640584,Bitung - Cikupa
26550,-6.219946442,106.5640147,Bitung - Cikupa
